candidate,decision,best_epoch_mean,auc_mean,auc_std,ap_mean,ap_std,acc_mean,acc_std,bal_mean,bal_std,f1_mean,f1_std,prec_mean,prec_std,rec_mean,rec_std,spec_mean,spec_std,tn,fp,fn,tp,thresholds
hidden512_sel_f1,fixed0.5,3.0,0.9844774761427983,0.00791334023184767,0.9728526852678634,0.017005390011192643,0.9453502867115432,0.021754622726628925,0.943689716852371,0.021938097568579163,0.9187914398240654,0.03152580073614492,0.9004435975260623,0.045980713895139476,0.9390168970814132,0.031121211079336557,0.948362536623329,0.026329740679240543,606,33,19,293,0.5000;0.5000;0.5000;0.5000;0.5000
hidden512_sel_f1,val_balacc,3.0,0.9844774761427983,0.00791334023184767,0.9728526852678634,0.017005390011192643,0.9454167705476607,0.02487015500339178,0.9356210587259677,0.03386661903075596,0.9153184182529251,0.04085246042354785,0.9260295805176589,0.03812415302252834,0.907168458781362,0.06586630418046403,0.9640736586705732,0.020289382272317066,616,23,29,283,0.9840;0.3004;0.6638;0.6092;0.7864
hidden512_sel_f1,val_f1,3.0,0.9844774761427983,0.00791334023184767,0.9728526852678634,0.017005390011192643,0.9422754092911159,0.029951259738247093,0.9292470507894597,0.04572541619460313,0.9082028280864876,0.05317656934257403,0.9322417017297802,0.04081310744445877,0.8912954429083462,0.09732893125822857,0.9671986586705732,0.022293969467736367,618,21,34,278,0.9944;0.3004;0.6638;0.6092;0.7864
hidden512_sel_f1,reported,3.0,0.9844774761427983,0.00791334023184767,0.9728526852678634,0.017005390011192643,0.9422754092911159,0.029951259738247093,0.9292470507894597,0.04572541619460313,0.9082028280864876,0.05317656934257403,0.9322417017297802,0.04081310744445877,0.8912954429083462,0.09732893125822857,0.9671986586705732,0.022293969467736367,618,21,34,278,0.9944;0.3004;0.6638;0.6092;0.7864
lr_2e-4,fixed0.5,2.4,0.9872484034546789,0.004381790577871158,0.9787103284028904,0.009260679576751904,0.9474223662705338,0.016699492205464128,0.9427840448992544,0.01736905932481804,0.920831687472413,0.023910205936847458,0.9151816946921695,0.049984822027469726,0.9294418842805939,0.04194670457764438,0.9561262055179149,0.030359421708932022,611,28,22,290,0.5000;0.5000;0.5000;0.5000;0.5000
lr_2e-4,val_balacc,2.4,0.9872484034546789,0.004381790577871158,0.9787103284028904,0.009260679576751904,0.9527133715615392,0.015625248574717556,0.9386266022618563,0.016301936540876975,0.9257691282324714,0.0242205589766284,0.9565010781133563,0.03727356878740243,0.897542242703533,0.02358298651677456,0.9797109618201795,0.017849536587111005,626,13,32,280,0.7834;0.8532;0.3669;0.5731;0.7860
lr_2e-4,val_f1,2.4,0.9872484034546789,0.004381790577871158,0.9787103284028904,0.009260679576751904,0.9474777694672983,0.024178854210640234,0.9282719395634438,0.036952705199493396,0.9145764676820125,0.04397813650665,0.9670273939028299,0.041267450491912515,0.8721454173067077,0.07966298580453368,0.9843984618201794,0.019788208627093715,629,10,40,272,0.9761;0.8532;0.3669;0.5731;0.7860
lr_2e-4,reported,2.4,0.9872484034546789,0.004381790577871158,0.9787103284028904,0.009260679576751904,0.9527133715615392,0.015625248574717556,0.9386266022618563,0.016301936540876975,0.9257691282324714,0.0242205589766284,0.9565010781133563,0.03727356878740243,0.897542242703533,0.02358298651677456,0.9797109618201795,0.017849536587111005,626,13,32,280,0.7834;0.8532;0.3669;0.5731;0.7860
lr_2e-4_sel_balacc,fixed0.5,2.6,0.9857134799494774,0.007042888893654303,0.977058313987266,0.012054446870722099,0.9474334469098867,0.02268566920375023,0.946091016992273,0.019146972290468404,0.9223235732666997,0.03167687328393373,0.90606726709932,0.06250412544714316,0.9422939068100359,0.03534630489775653,0.9498881271745102,0.03804156320547824,607,32,18,294,0.5000;0.5000;0.5000;0.5000;0.5000
lr_2e-4_sel_balacc,val_balacc,2.6,0.9857134799494774,0.007042888893654303,0.977058313987266,0.012054446870722099,0.9370065652788165,0.03857152394694362,0.9311641083282398,0.028015180413706816,0.9072416244817022,0.049393605587924376,0.9079882970137207,0.10104307624928625,0.9137224782386072,0.03942444518765066,0.9486057384178721,0.06447007615111493,606,33,27,285,0.8589;0.8415;0.0117;0.5000;0.7885
lr_2e-4_sel_balacc,val_f1,2.6,0.9857134799494774,0.007042888893654303,0.977058313987266,0.012054446870722099,0.9370065652788165,0.03857152394694362,0.9311641083282398,0.028015180413706816,0.9072416244817022,0.049393605587924376,0.9079882970137207,0.10104307624928625,0.9137224782386072,0.03942444518765066,0.9486057384178721,0.06447007615111493,606,33,27,285,0.8589;0.8415;0.0117;0.5000;0.7885
lr_2e-4_sel_balacc,reported,2.6,0.9857134799494774,0.007042888893654303,0.977058313987266,0.012054446870722099,0.9370065652788165,0.03857152394694362,0.9311641083282398,0.028015180413706816,0.9072416244817022,0.049393605587924376,0.9079882970137207,0.10104307624928625,0.9137224782386072,0.03942444518765066,0.9486057384178721,0.06447007615111493,606,33,27,285,0.8589;0.8415;0.0117;0.5000;0.7885
lr_2e-4_sel_f1,fixed0.5,4.0,0.9874964969741216,0.0038544143506106586,0.9785577595828432,0.007703029373077521,0.9495055264688773,0.021411950424743576,0.9485107718565843,0.015224188885424756,0.9255961725131632,0.028201731759183647,0.9092855913325945,0.06279836042729721,0.9455709165386585,0.026503322668398745,0.9514506271745102,0.037967012243735554,608,31,17,295,0.5000;0.5000;0.5000;0.5000;0.5000
lr_2e-4_sel_f1,val_balacc,4.0,0.9874964969741216,0.0038544143506106586,0.9785577595828432,0.007703029373077521,0.951655170503338,0.017905686211784087,0.9428410416984871,0.01772772341670733,0.9259537190082645,0.0264657221930309,0.9384648060830042,0.05831576646215176,0.9168970814132104,0.04078767685481003,0.9687850019837636,0.03154637356352696,619,20,26,286,0.7834;0.8532;0.0971;0.7102;0.7975
lr_2e-4_sel_f1,val_f1,4.0,0.9874964969741216,0.0038544143506106586,0.9785577595828432,0.007703029373077521,0.9464195684090972,0.025440742863396173,0.9324863790000745,0.03902715991703931,0.9147610584578058,0.04531049127289828,0.9489911218724778,0.064722877683724,0.891500256016385,0.09318018719496572,0.9734725019837637,0.03458582832805023,622,17,34,278,0.9761;0.8532;0.0971;0.7102;0.7975
lr_2e-4_sel_f1,reported,4.0,0.9874964969741216,0.0038544143506106586,0.9785577595828432,0.007703029373077521,0.9464195684090972,0.025440742863396173,0.9324863790000745,0.03902715991703931,0.9147610584578058,0.04531049127289828,0.9489911218724778,0.064722877683724,0.891500256016385,0.09318018719496572,0.9734725019837637,0.03458582832805023,622,17,34,278,0.9761;0.8532;0.0971;0.7102;0.7975
maxpatch_2048_eval2048,fixed0.5,5.4,0.9834362942535408,0.005823327672332728,0.9738962722697806,0.010372286311667945,0.9368846782459348,0.02215667803155073,0.9374343698703548,0.0148477956570844,0.9080172089401171,0.027800765831130843,0.8827454480671155,0.0667223076464338,0.939068100358423,0.03490048940435445,0.9358006393822865,0.04332344965329655,598,41,19,293,0.5000;0.5000;0.5000;0.5000;0.5000
maxpatch_2048_eval2048,val_balacc,5.4,0.9834362942535408,0.005823327672332728,0.9738962722697806,0.010372286311667945,0.940059281420538,0.016922359802230752,0.9389710729437608,0.01625412118462832,0.9112608388225057,0.024087881927057738,0.888444459603531,0.0361035924633113,0.9358422939068101,0.019709603932479017,0.9420998519807118,0.020501948875331518,602,37,20,292,0.5000;0.5000;0.5000;0.2590;0.7242
maxpatch_2048_eval2048,val_f1,5.4,0.9834362942535408,0.005823327672332728,0.9738962722697806,0.010372286311667945,0.9379539599434888,0.016411734752719166,0.9284580536538334,0.022679460786227654,0.9047965569695491,0.02520318466791553,0.9144065762047224,0.05853580766964193,0.9007168458781362,0.06188409079498996,0.9561992614295306,0.03262981995976822,611,28,31,281,0.9829;0.5000;0.5000;0.8067;0.7242
maxpatch_2048_eval2048,reported,5.4,0.9834362942535408,0.005823327672332728,0.9738962722697806,0.010372286311667945,0.940059281420538,0.016922359802230752,0.9389710729437608,0.01625412118462832,0.9112608388225057,0.024087881927057738,0.888444459603531,0.0361035924633113,0.9358422939068101,0.019709603932479017,0.9420998519807118,0.020501948875331518,602,37,20,292,0.5000;0.5000;0.5000;0.2590;0.7242
sel_balacc_thr_balacc,fixed0.5,4.6,0.9837125000281285,0.006503112926646692,0.976089832527312,0.009937400481102305,0.9432006426770825,0.020615941946367334,0.9437597654299683,0.017560164159648953,0.9166193615625051,0.028141890739911024,0.8905207537560479,0.047512709049904775,0.945468509984639,0.01841806144546498,0.9420510208752976,0.02877785661375316,602,37,17,295,0.5000;0.5000;0.5000;0.5000;0.5000
sel_balacc_thr_balacc,val_balacc,4.6,0.9837125000281285,0.006503112926646692,0.976089832527312,0.009937400481102305,0.9401257652566553,0.024617391327894516,0.9424023995986577,0.016892327822983805,0.9132598019413438,0.03170797780070068,0.8834570996617455,0.067566896169638,0.9487967229902715,0.02594432706933552,0.9360080762070438,0.04283203369448657,598,41,16,296,0.7591;0.0545;0.0644;0.5509;0.7090
sel_balacc_thr_balacc,val_f1,4.6,0.9837125000281285,0.006503112926646692,0.976089832527312,0.009937400481102305,0.9485027286074406,0.011292385928816987,0.946090821704184,0.011321133920692521,0.9229979314377467,0.016232431254523286,0.9085653247699705,0.03426992563769303,0.9391193036354327,0.026134621075499805,0.9530623397729354,0.019962658896476783,609,30,19,293,0.7591;0.0545;0.5000;0.5509;0.7090
sel_balacc_thr_balacc,reported,4.6,0.9837125000281285,0.006503112926646692,0.976089832527312,0.009937400481102305,0.9401257652566553,0.024617391327894516,0.9424023995986577,0.016892327822983805,0.9132598019413438,0.03170797780070068,0.8834570996617455,0.067566896169638,0.9487967229902715,0.02594432706933552,0.9360080762070438,0.04283203369448657,598,41,16,296,0.7591;0.0545;0.0644;0.5509;0.7090
sel_f1_thr_f1,fixed0.5,5.0,0.9853810096693651,0.00550631762802018,0.976805903615368,0.01038656323960635,0.9442366824565778,0.020380433235305154,0.9404790042801523,0.02045985037422096,0.9165093333951664,0.02855622039272875,0.9062565302853123,0.0514593211342768,0.9295442908346135,0.03987671962738498,0.9514137177256913,0.031281385705644246,608,31,22,290,0.5000;0.5000;0.5000;0.5000;0.5000
sel_f1_thr_f1,val_balacc,5.0,0.9853810096693651,0.00550631762802018,0.976805903615368,0.01038656323960635,0.9443253275714009,0.017065650566630224,0.9422656699543512,0.01718407072669099,0.9171651970524921,0.023974396105721014,0.9027900521784726,0.05708983646185305,0.9360471070148488,0.046125741069776224,0.9484842328938534,0.03401411971778974,606,33,20,292,0.6851;0.1801;0.1576;0.7160;0.7370
sel_f1_thr_f1,val_f1,5.0,0.9853810096693651,0.00550631762802018,0.976805903615368,0.01038656323960635,0.9443253275714009,0.017065650566630224,0.9422656699543512,0.01718407072669099,0.9171651970524921,0.023974396105721014,0.9027900521784726,0.05708983646185305,0.9360471070148488,0.046125741069776224,0.9484842328938534,0.03401411971778974,606,33,20,292,0.6851;0.1801;0.1576;0.7160;0.7370
sel_f1_thr_f1,reported,5.0,0.9853810096693651,0.00550631762802018,0.976805903615368,0.01038656323960635,0.9443253275714009,0.017065650566630224,0.9422656699543512,0.01718407072669099,0.9171651970524921,0.023974396105721014,0.9027900521784726,0.05708983646185305,0.9360471070148488,0.046125741069776224,0.9484842328938534,0.03401411971778974,606,33,20,292,0.6851;0.1801;0.1576;0.7160;0.7370
