status,rel_path,source_file,output_path,selected_tiles,embedded_tiles,skipped_missing_tiles,total_tiles,tile_size,source_tile_size,subtiles_per_tile,model_input_size,level0_cols,level0_rows,tissue_threshold,target_mpp,source_mpp,elapsed_s,output_dtype,preprocess,prefetch_batches,error
ok,S 210074939/02_2.fastpath,S 210074939#S 210074939#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210074939_02_2_db7c82bbf5.npz,321,321,0,18240,256,512,2,224,114,40,0.1,0.526028,0.263014,0.410,float16,gpu,1,
ok,S 210074939/03_3.fastpath,S 210074939#S 210074939#3##S#3.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210074939_03_3_0ab008a261.npz,1174,1174,0,32240,256,512,2,224,124,65,0.1,0.526028,0.263014,1.266,float16,gpu,1,
ok,S 210074952/01__.fastpath,S 210074952#S 210074952###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210074952_01_7a3edf7349.npz,1651,1651,0,31104,256,512,2,224,144,54,0.1,0.526028,0.263014,1.722,float16,gpu,1,
ok,S 210075277/01_1.fastpath,S 210075277#S 210075277#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210075277_01_1_84b62a94eb.npz,745,745,0,23200,256,512,2,224,116,50,0.1,0.526028,0.263014,0.841,float16,gpu,1,
ok,S 210075277/02_2.fastpath,S 210075277#S 210075277#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210075277_02_2_e7f27c0a6e.npz,794,794,0,22272,256,512,2,224,116,48,0.1,0.526028,0.263014,0.868,float16,gpu,1,
ok,S 210075589/01__.fastpath,S 210075589#S 210075589###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210075589_01_60465ec79e.npz,1616,1616,0,21016,256,512,2,224,142,37,0.1,0.526028,0.263014,1.660,float16,gpu,1,
ok,S 210075717/01_1.fastpath,S 210075717#S 210075717#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210075717_01_1_c26e6e4cfc.npz,783,783,0,20880,256,512,2,224,116,45,0.1,0.526028,0.263014,0.862,float16,gpu,1,
ok,S 210075717/02_2.fastpath,S 210075717#S 210075717#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210075717_02_2_d447296757.npz,1262,1262,0,30492,256,512,2,224,121,63,0.1,0.526028,0.263014,1.354,float16,gpu,1,
ok,S 210075881/01__.fastpath,S 210075881#S 210075881###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210075881_01_b0b7aa77ad.npz,673,673,0,32600,256,512,2,224,163,50,0.1,0.526028,0.263014,0.756,float16,gpu,1,
ok,S 210075883/01__.fastpath,S 210075883#S 210075883###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210075883_01_22384aa5b8.npz,0,0,0,22320,256,512,2,224,155,36,0.1,0.526028,0.263014,0.003,float16,gpu,1,
ok,S 210076034/01_1.fastpath,S 210076034#S 210076034#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210076034_01_1_8b70cf445f.npz,787,787,0,24928,256,512,2,224,152,41,0.1,0.526246,0.263123,0.908,float16,gpu,1,
ok,S 210076034/02_2.fastpath,S 210076034#S 210076034#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210076034_02_2_1c15d7686b.npz,824,824,0,23520,256,512,2,224,147,40,0.1,0.526246,0.263123,0.899,float16,gpu,1,
ok,S 210076034/03_3.fastpath,S 210076034#S 210076034#3##S#3.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210076034_03_3_95b274a326.npz,926,926,0,26928,256,512,2,224,153,44,0.1,0.526246,0.263123,0.976,float16,gpu,1,
ok,S 210077013/01__.fastpath,S 210077013#S 210077013###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_210077013_01_11d9d48e33.npz,1149,1149,0,28336,256,512,2,224,154,46,0.1,0.526246,0.263123,1.242,float16,gpu,1,
ok,S 220000026/01__.fastpath,S 220000026#S 220000026###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220000026_01_255ce49abe.npz,1367,1367,0,21472,256,512,2,224,122,44,0.1,0.526028,0.263014,1.420,float16,gpu,1,
ok,S 220000779/01_1.fastpath,S 220000779#S 220000779#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220000779_01_1_e6d9c22a17.npz,1372,1372,0,25456,256,512,2,224,148,43,0.1,0.526246,0.263123,1.426,float16,gpu,1,
ok,S 220000779/02_2.fastpath,S 220000779#S 220000779#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220000779_02_2_8e074b32f8.npz,122,122,0,25200,256,512,2,224,150,42,0.1,0.526246,0.263123,0.185,float16,gpu,1,
ok,S 220000786/01__.fastpath,S 220000786#S 220000786###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220000786_01_8f7d3af864.npz,935,935,0,27784,256,512,2,224,151,46,0.1,0.526246,0.263123,1.006,float16,gpu,1,
ok,S 220000904/01__.fastpath,S 220000904#S 220000904###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220000904_01_0d3c2b048a.npz,1056,1056,0,21456,256,512,2,224,149,36,0.1,0.528338,0.264169,1.074,float16,gpu,1,
ok,S 220000914/01_1.fastpath,S 220000914#S 220000914#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220000914_01_1_7eb673ec73.npz,1159,1159,0,25520,256,512,2,224,145,44,0.1,0.528338,0.264169,1.233,float16,gpu,1,
ok,S 220000914/02_2.fastpath,S 220000914#S 220000914#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220000914_02_2_373fc1c176.npz,2802,2802,0,38308,256,512,2,224,157,61,0.1,0.528338,0.264169,2.954,float16,gpu,1,
ok,S 220001433/02_1.fastpath,S 220001433#S 220001433#1##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220001433_02_1_b716c72769.npz,664,664,0,25092,256,512,2,224,153,41,0.1,0.526246,0.263123,0.719,float16,gpu,1,
ok,S 220001433/03_2.fastpath,S 220001433#S 220001433#2##S#3.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220001433_03_2_67bfdd850a.npz,961,961,0,24928,256,512,2,224,152,41,0.1,0.526246,0.263123,1.038,float16,gpu,1,
ok,S 220001442/01__.fastpath,S 220001442#S 220001442###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220001442_01_07c696d6b8.npz,509,509,0,38896,256,512,2,224,143,68,0.1,0.526246,0.263123,0.599,float16,gpu,1,
ok,S 220001826/01__.fastpath,S 220001826#S 220001826###S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220001826_01_3aa3a9642c.npz,2581,2581,0,27180,256,512,2,224,151,45,0.1,0.528338,0.264169,2.696,float16,gpu,1,
ok,S 220001948/01_1.fastpath,S 220001948#S 220001948#1##S#1.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220001948_01_1_8c125124ed.npz,277,277,0,15820,256,512,2,224,113,35,0.1,0.526246,0.263123,0.375,float16,gpu,1,
ok,S 220001948/02_2.fastpath,S 220001948#S 220001948#2##S#2.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220001948_02_2_fb05bc2ac6.npz,1186,1186,0,74124,256,512,2,224,213,87,0.1,0.526246,0.263123,1.299,float16,gpu,1,
ok,S 220001948/03_3.fastpath,S 220001948#S 220001948#3##S#3.svs,/home/eteriny/projects/foundation_inference/outputs/uni_thyroid_patch256/S_220001948_03_3_06ba5f6c09.npz,978,978,0,20828,256,512,2,224,127,41,0.1,0.526246,0.263123,1.069,float16,gpu,1,
